Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand,Model,Age
Mumbai,2010,72000,CNG,Manual,First,26.6,998.0,58.16,5.0,1750.0,Maruti,Wagon,14
Pune,2015,41000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12500.0,Hyundai,Creta,9
Chennai,2011,46000,Petrol,Manual,First,18.2,1199.0,88.7,5.0,4500.0,Honda,Jazz,13
Chennai,2012,87000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6000.0,Maruti,Ertiga,12
Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968.0,140.8,5.0,17740.0,Audi,A4,11
Hyderabad,2012,75000,LPG,Manual,First,21.1,814.0,55.2,5.0,2350.0,Hyundai,EON,12
Jaipur,2013,86999,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3500.0,Nissan,Micra,11
Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755.0,171.5,8.0,17500.0,Toyota,Innova,8
Pune,2013,64430,Diesel,Manual,First,20.54,1598.0,103.6,5.0,5200.0,Volkswagen,Vento,11
Chennai,2012,65932,Diesel,Manual,Second,22.3,1248.0,74.0,5.0,1950.0,Tata,Indica,12
Kochi,2018,25692,Petrol,Manual,First,21.56,1462.0,103.25,5.0,9950.0,Maruti,Ciaz,6
Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497.0,116.3,5.0,4490.0,Honda,City,12
Jaipur,2015,64424,Diesel,Manual,First,25.2,1248.0,74.0,5.0,5600.0,Maruti,Swift,9
Delhi,2014,72000,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,27000.0,Land,Rover,10
Pune,2012,85000,Diesel,Automatic,Second,0.0,2179.0,115.0,5.0,17500.0,Land,Rover,12
Delhi,2014,110000,Diesel,Manual,First,13.5,2477.0,175.56,7.0,15000.0,Mitsubishi,Pajero,10
Kochi,2016,58950,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5400.0,Honda,Amaze,8
Jaipur,2017,25000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,5990.0,Maruti,Swift,7
Kochi,2014,77469,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6340.0,Renault,Duster,10
Bangalore,2014,78500,Diesel,Automatic,First,14.84,2143.0,167.62,5.0,28000.0,Mercedes-Benz,New,10
Kochi,2014,32982,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,18550.0,BMW,3,10
Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248.0,88.5,5.0,8250.0,Maruti,S,9
Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984.0,177.01,5.0,23500.0,Audi,A6,9
Kolkata,2010,45807,Petrol,Manual,First,18.5,1197.0,80.0,5.0,1870.0,Hyundai,i20,14
Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598.0,103.6,5.0,2850.0,Volkswagen,Vento,14
Mumbai,2012,51920,Petrol,Manual,First,16.8,1497.0,116.3,5.0,4250.0,Honda,City,12
Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461.0,63.1,5.0,4250.0,Nissan,Micra,12
Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998.0,67.1,5.0,2750.0,Maruti,Alto,11
Kochi,2018,37430,Petrol,Manual,First,17.5,1199.0,88.7,5.0,9900.0,Honda,WRV,6
Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494.0,102.0,7.0,4000.0,Toyota,Innova,17
Bangalore,2013,62000,Diesel,Manual,First,19.01,1461.0,108.45,5.0,7750.0,Renault,Duster,11
Delhi,2012,87615,Petrol,Manual,First,14.53,1798.0,138.1,5.0,6750.0,Toyota,Corolla,12
Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,12500.0,Mahindra,Ssangyong,11
Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11500.0,Audi,A6,14
Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6980.0,Volkswagen,Vento,10
Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1850.0,Maruti,Wagon,15
Kochi,2018,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8630.0,Maruti,Vitara,6
Delhi,2017,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4850.0,Mahindra,KUV,7
Pune,2013,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28000.0,Mercedes-Benz,M-Class,11
Chennai,2013,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5000.0,Volkswagen,Polo,11
Delhi,2008,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1250.0,Maruti,Alto,16
Kochi,2014,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,1530.0,Tata,Nano,10
Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5580.0,Mahindra,KUV,7
Kochi,2014,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4740.0,Hyundai,i20,10
Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8850.0,Hyundai,Elantra,10
Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10110.0,Toyota,Corolla,8
Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4250.0,Hyundai,Elantra,16
Bangalore,2012,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10950.0,Toyota,Innova,12
Jaipur,2014,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3850.0,Hyundai,Xcent,10
Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5500.0,Mahindra,Thar,12
Kochi,2015,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21430.0,Audi,A4,9
Delhi,2014,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4250.0,Maruti,Swift,10
Kolkata,2014,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3300.0,Maruti,Swift,10
Delhi,2013,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3850.0,Maruti,Swift,11
Chennai,2015,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3600.0,Hyundai,Grand,9
Kolkata,2015,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3990.0,Volkswagen,Vento,9
Kochi,2017,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,3300.0,Renault,KWID,7
Kolkata,2010,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2070.0,Hyundai,i10,14
Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,7750.0,Nissan,X-Trail,14
Hyderabad,2010,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,2250.0,Maruti,Zen,14
Mumbai,2017,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16500.0,Toyota,Innova,7
Bangalore,2010,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2750.0,Ford,Figo,14
Delhi,2015,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26700.0,Mercedes-Benz,New,9
Pune,2011,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10000.0,Mercedes-Benz,New,13
Chennai,2016,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2500.0,Tata,Indica,8
Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13500.0,Audi,A4,12
Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1850.0,Honda,City,17
Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950.0,194.0,5.0,35670.0,Mercedes-Benz,C-Class,5
Pune,2016,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8150.0,Maruti,Ertiga,8
Mumbai,2018,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10500.0,Hyundai,Creta,6
Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14500.0,Porsche,Cayenne,16
Mumbai,2015,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9650.0,Mahindra,XUV500,9
Kochi,2012,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3480.0,Hyundai,i10,12
Kochi,2015,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6920.0,Nissan,Terrano,9
Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6460.0,Honda,Brio,8
Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29500.0,Audi,A6,10
Jaipur,2008,111111,Diesel,Manual,First,17.8,1399.0,97.7,5.0,2000.0,Ford,Fiesta,16
Chennai,2006,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4500.0,Toyota,Innova,18
Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11750.0,Toyota,Innova,12
Hyderabad,2005,87591,Petrol,Manual,First,0.0,1086.0,97.7,5.0,1300.0,Hyundai,Santro,19
Jaipur,2012,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3750.0,Maruti,Swift,12
Pune,2017,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4500.0,Tata,Zest,7
Kochi,2016,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4820.0,Honda,Amaze,8
Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2800.0,Ford,Figo,12
Jaipur,2013,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3110.0,Maruti,Ritz,11
Delhi,2009,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3250.0,Honda,City,15
Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13900.0,BMW,5,13
Pune,2009,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2250.0,Hyundai,i10,15
Bangalore,2016,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5750.0,Hyundai,Grand,8
Hyderabad,2007,73745,Petrol,Manual,First,17.0,1086.0,97.7,5.0,2100.0,Hyundai,Santro,17
Mumbai,2016,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5000.0,Honda,Amaze,8
Delhi,2014,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16500.0,Toyota,Fortuner,10
Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39580.0,Audi,A6,6
Delhi,2013,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5500.0,Ford,Ecosport,11
Delhi,2014,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8100.0,Mahindra,XUV500,10
Kolkata,2015,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3500.0,Honda,Amaze,9
Kolkata,2013,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2790.0,Volkswagen,Polo,11
Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3450.0,Hyundai,Verna,14
Bangalore,2016,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,4450.0,Maruti,Wagon,8
Delhi,2010,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2650.0,Volkswagen,Polo,14
